elyxry,4,3168,3
mrndxk,2,3725,8
dzozln,1,3517,3
hoyxzu,6,2080,4
kqepcu,7,4205,8
qepwbw,3,2989,5
ilckkf,7,1928,7
kwjexf,8,3187,9
plerjf,10,4422,6
wzdoqu,5,3590,8
kxjprt,3,4072,10
aimazp,2,3175,5
mynecj,6,5473,10
riqqnw,2,4062,9
jefzuh,10,3218,1
qoujha,10,4299,2
peergx,9,5745,5
lyxpfi,10,5735,5
miaucz,5,5035,6
qfekmr,4,2984,2
pwrsvv,2,1739,10
bwacgt,10,5590,10
oieaqs,9,5297,10
ghoyip,10,4909,6
jjatcn,5,3231,5
ogeouv,5,1766,1
bcvgln,7,2126,2
sxkseu,1,3500,7
pxxjff,1,1070,1
crowhc,10,3160,10
gvdzvj,8,2500,5
hgakrb,3,3768,8
uflnpc,3,2430,9
hyztnm,9,1861,10
fwdwyg,8,2432,1
vknhnk,10,2089,7
cbuici,1,1721,9
srgqro,1,2577,6
khoneq,4,2055,8
hyegej,1,3840,1
anlhmc,10,3587,4
fmlisl,1,5301,5
kvzjcj,9,4952,8
ibcgxg,10,1150,8
ohofks,7,5183,1
vynkhj,1,5604,3
eezsdj,6,5809,6
lexqgw,2,1240,7
fkjehy,1,4677,7
smrdqi,6,3538,5
ziqjne,1,4926,3
kbhbkm,9,2581,9
emsrgc,1,3866,8
lyltal,10,3647,8
hiumwn,10,4161,10
ifgiio,6,5958,6
vetgyr,2,3313,6
vuhdow,3,1509,10
wzmiip,7,1256,10
hjsgxi,4,3109,7
jfbphk,7,5361,10
svhnno,10,1927,3
ziycwk,1,2335,9
knqepb,1,1462,3
xmiuyt,1,4476,9
yormcw,1,5644,5
jkkdqk,10,3195,8
kqbiuk,3,5133,9
txgqvb,5,5204,1
ygdcki,5,5664,2
rzbupk,5,4700,6
hzanjz,3,1797,3
soaffi,7,2223,8
tdprdg,1,3903,9
ymzxge,7,1660,9
hvqbss,7,2969,7
ujnyzd,2,2129,9
tqhdqd,7,5475,4
ebaqnr,4,1397,8
garfcy,2,4798,3
laqqik,5,5569,9
eyywri,9,5386,1
ltacwj,3,1002,8
lbrcnb,7,5923,8
numbsh,8,4925,6
ysxabm,7,5057,3
aulkot,10,2760,10
oglrck,10,4321,1
dpqneq,8,5725,5
pgbreo,3,2859,6
crmtvj,7,5213,5
lpesqw,3,5696,9
hpcmmy,1,2530,1
ubjevs,5,1998,3
dvlmrp,7,1400,10
toscgy,2,4689,9
utussh,8,4040,8
migbys,10,4819,9
segdef,8,2625,9
zcoeqm,4,1718,10
